Area,Description,Emirate,Zone
AL DAHARA,AL DAHARA,AL AIN,ZONE J
AL DAHER UMM,AL DAHER UMM GHAFA,AL AIN,ZONE J
AL DAHRA,AL DAHRA,AL AIN,ZONE J
AL DANA,AL DANA,ABU DHABI,ZONE K
AL DAR AL BAIDA - A,AL DAR AL BAIDA - A,UMM AL QUWAIN,ZONE I
AL DAR AL BAIDA - B,AL DAR AL BAIDA - B,UMM AL QUWAIN,ZONE I
AL DARARI,AL DARARI,SHARJAH,ZONE H
AL DARBI JANIYAH,AL DARBI JANIYAH,RAS AL KHAIMAH,ZONE I
AL DHAFRA AI,AL DHAFRA AIR BASE,ABUDHABI,ZONE K
AL DHAFRA AIR BASE,AL DHAFRA AIR BASE,ABU DHABI,ZONE K
AL DHAHIR,AL DHAHIR,AL AIN,ZONE J
AL DHAID,AL DHAID,SHARJAH,ZONE H
AL DHAID HOSPITAL,AL DHAID HOSPITAL,SHARJAH,ZONE H
"AL DHAID, MASAFA, AL MANAMA","AL DHAID, MASAFA, AL MANAMA",FUJAIRAH,ZONE I
AL DHAIT NORTH - RAK,AL DHAIT NORTH - RAK,RAS AL KHAIMAH,ZONE I
AL DHAIT SOUTH - RAK,AL DHAIT SOUTH - RAK,RAS AL KHAIMAH,ZONE I
AL DHAIT SOUTH 2,AL DHAIT SOUTH 2,RAS AL KHAIMAH,ZONE I
AL DHARMAA,AL DHARMAA,AL AIN,ZONE J
AL FAHLAIN,AL FAHLAIN,RAS AL KHAIMAH,ZONE I
AL FALAH CITY,AL FALAH CITY,ABU DHABI,ZONE K
AL FALAH NEW,AL FALAH CITY NEW,ABUDHABI,ZONE K
AL FALAH OLD,AL FALAH CITY OLD,ABUDHABI,ZONE K
AL FALAH OLD1,AL FALAH OLD1,ABU DHABI,ZONE K
AL FALAH ST. AUH,AL FALAH ST. AUH,ABUDHABI,ZONE K
AL FALAH SUBURB,AL FALAH SUBURB,SHARJAH,ZONE H
AL FALAH-ABUDHABI,AL FALAH-ABUDHABI,ABU DHABI,ZONE K
AL FALAJ AAN,AL FALAJ AAN,ALAIN,ZONE J
AL FALAJ SHJ,AL FALAJ SHJ,SHARJAH,ZONE H
AL FAQA,AL FAQA,AL AIN,ZONE J
AL FASEEL,AL FASEEL,FUJAIRAH,ZONE I
AL FAYAH,AL FAYAH,SHARJAH,ZONE H
AL FAYHA,AL FAYHA,SHARJAH,ZONE H
AL FISHT,AL FISHT,SHARJAH,ZONE H
AL FOA,AL FOA,AL AIN,ZONE J
AL FOAA,AL FOAA,AL AIN,ZONE J
AL FORSAN VILLAGE,AL FORSAN VILLAGE,ABU DHABI,ZONE K
AL FURJAN,AL FURJAN,DUBAI,ZONE B
"AL FURJAN, JABAL ALI VILLAGE, GARDENS","AL FURJAN, JABAL ALI VILLAGE, GARDENS",DUBAI,ZONE B
AL GARHOUD,AL GARHOUD,DUBAI,ZONE E
AL GERINA SHJ,AL GERINA SHJ,SHARJAH,ZONE H
AL GHADEER,AL GHADEER,DUBAI,ZONE A
AL GHAFIA SHJ,AL GHAFIA SHJ,SHARJAH,ZONE H
AL GHAIL YOUTH CENTER,AL GHAIL YOUTH CENTER,RAS AL KHAIMAH,ZONE I
AL GHAPHIA,AL GHAPHIA,SHARJAH,ZONE H
AL GHARAYEN 1,AL GHARAYEN 1,SHARJAH,ZONE H
AL GHARAYEN 2,AL GHARAYEN 2,SHARJAH,ZONE H
AL GHARAYEN 3,AL GHARAYEN 3,SHARJAH,ZONE H
AL GHARAYEN 5,AL GHARAYEN 5,SHARJAH,ZONE H
AL GHARAYEN SHJ,AL GHARAYEN SHJ,SHARJAH,ZONE H
AL GHARB,AL GHARB,SHARJAH,ZONE H
AL GHAZAL GOLF CLUB,AL GHAZAL GOLF CLUB,ABU DHABI,ZONE K
AL GHDEER VI,AL GHDEER VILLAGE (NEAR JABAL ALI),ABUDHABI,ZONE C
AL GHUBAIBA - SHARJAH,AL GHUBAIBA - SHARJAH,SHARJAH,ZONE H
AL GHUBB,AL GHUBB,RAS AL KHAIMAH,ZONE I
AL GHUWAIR,AL GHUWAIR,SHARJAH,ZONE H
AL GOAZ,AL GOAZ,SHARJAH,ZONE H
AL GOAZ SHJ,AL GOAZ SHJ,SHARJAH,ZONE H
AL GURFA,AL GURFA,FUJAIRAH,ZONE I
AL GURM RESORT,AL GURM RESORT,ABU DHABI,ZONE K
AL HADITHA,AL HADITHA,UMM AL QUWAIN,ZONE I
AL HAFFAR,AL HAFFAR,ABU DHABI,ZONE K
"AL HALAH , ABADILAH, DAHIR","AL HALAH , ABADILAH, DAHIR",FUJAIRAH,ZONE I
AL HAMRA,AL HAMRA,RAS AL KHAIMAH,ZONE I
AL HAMRA VILLAGE,AL HAMRA VILLAGE,RAS AL KHAIMAH,ZONE I
AL HAMRAIYAN,AL HAMRAIYAN,RAS AL KHAIMAH,ZONE I
AL HAMRIYA FREE ZONE,AL HAMRIYA FREE ZONE,SHARJAH,ZONE H
AL HAMRIYA FREE ZONE 2,AL HAMRIYA FREE ZONE 2,SHARJAH,ZONE H
AL HAMRIYA PORT,AL HAMRIYA PORT,DUBAI,ZONE G
AL HAMRIYAH,AL HAMRIYAH,SHARJAH,ZONE H
AL HAWIYAH,AL HAWIYAH,UMM AL QUWAIN,ZONE I
AL HAYER,AL HAYER,AL AIN,ZONE J
AL HAYL - FUJAIRAH,AL HAYL - FUJAIRAH,FUJAIRAH,ZONE I
AL HAYYALI AHU,AL HAYYALI AHU,ABUDHABI,ZONE K
AL HAZANA,AL HAZANA,SHARJAH,ZONE H
"AL HEBIAH 1, MOTOR CITY","AL HEBIAH 1, MOTOR CITY",DUBAI,ZONE A
"AL HEBIAH 2, DUBAI STUDIO CITY","AL HEBIAH 2, DUBAI STUDIO CITY",DUBAI,ZONE A
AL HEBIAH 3,AL HEBIAH 3,DUBAI,ZONE A
"AL HEBIAH 4, DUBAI SPORTS CITY","AL HEBIAH 4, DUBAI SPORTS CITY",DUBAI,ZONE A
"AL HEBIAH 5, GOLF CITY","AL HEBIAH 5, GOLF CITY",DUBAI,ZONE A
AL HELIO 1,AL HELIO 1,AJMAN,ZONE I
AL HELIO 2,AL HELIO 2,AJMAN,ZONE I
AL HILI,AL HILI,AL AIN,ZONE J
AL HOSH*,AL HOSHI,SHARJAH,ZONE H
AL HOSHI,AL HOSHI,SHARJAH,ZONE H
AL HOUMAH,AL HOUMAH,SHARJAH,ZONE H
AL HOUMAH SHJ,AL HOUMAH SHJ,SHARJAH,ZONE H
AL HUDAIBA DXB,AL HUDAIBA DXB,DUBAI,ZONE E
AL HUDAIBAH,AL HUDAIBAH,RAS AL KHAIMAH,ZONE I
AL HUDAIRIYAT ISLAND,AL HUDAIRIYAT ISLAND,ABU DHABI,ZONE K
AL HUMAIDEYA 1,AL HUMAIDEYA 1,AJMAN,ZONE I
AL HUMAIDEYA 2,AL HUMAIDEYA 2,AJMAN,ZONE I
AL HUMRAH - A,AL HUMRAH - A,UMM AL QUWAIN,ZONE I
AL HUMRAH - B,AL HUMRAH - B,UMM AL QUWAIN,ZONE I
AL HUMRAH - C,AL HUMRAH - C,UMM AL QUWAIN,ZONE I
AL HUMRAH - D,AL HUMRAH - D,UMM AL QUWAIN,ZONE I
AL ITTIHAD,AL ITTIHAD,FUJAIRAH,ZONE I
AL JADAF,AL JADAF,DUBAI,ZONE D
AL JAFILIYA,AL JAFILIYA,DUBAI,ZONE E
AL JAHILI,AL JAHILI,AL AIN,ZONE J
AL JAZZAT,AL JAZZAT,SHARJAH,ZONE H
AL JAZZAT STREET SHJ,AL JAZZAT STREET SHJ,SHARJAH,ZONE H
AL JEER,AL JEER,RAS AL KHAIMAH,ZONE I
AL JIMI,AL JIMI,AL AIN,ZONE J
AL JUBAIL,AL JUBAIL,SHARJAH,ZONE H
AL JUBAIL ISLAND,AL JUBAIL ISLAND,ABU DHABI,ZONE K
AL JURAINA,AL JURAINA,SHARJAH,ZONE H
"AL JURAINA 1,2","AL JURAINA 1,2",SHARJAH,ZONE H
"AL JURAINA 1,2,3,4 SHJ","AL JURAINA 1,2,3,4 SHJ",SHARJAH,ZONE H
"AL JURAINA 3,4","AL JURAINA 3,4",SHARJAH,ZONE H
AL JURAINAH 2,AL JURAINAH 2,SHARJAH,ZONE H
AL JURAINAH 4,AL JURAINAH 4,SHARJAH,ZONE H
AL JURF,AL JURF,AJMAN,ZONE I
AL JURF 1,AL JURF 1,AJMAN,ZONE I
AL JURF 2,AL JURF 2,AJMAN,ZONE I
AL JURF INDUSTRIAL AREA 1,AL JURF INDUSTRIAL AREA 1,AJMAN,ZONE I
AL JURF INDUSTRIAL AREA 2,AL JURF INDUSTRIAL AREA 2,AJMAN,ZONE I
AL JURF INDUSTRIAL AREA 3,AL JURF INDUSTRIAL AREA 3,AJMAN,ZONE I
AL JUWAIS,AL JUWAIS,RAS AL KHAIMAH,ZONE I
AL KARAMA,AL KARAMA,DUBAI,ZONE E
AL KARAMA ABUDHABI,AL KARAMA ABUDHABI,ABUDHABI,ZONE K
AL KARAMAH,AL KARAMAH,ABU DHABI,ZONE K
AL KAZNA,AL KAZNA,ABUDHABI,ZONE K
AL KHABISI,AL KHABISI,AL AIN,ZONE J
AL KHAIBAISI,AL KHAIBAISI,DUBAI,ZONE E
AL KHAKLEEJ,AL KHAKLEEJ,ABUDHABI,ZONE K
AL KHALEDIA,AL KHALEDIA,SHARJAH,ZONE H
AL KHALIDIYA,AL KHALIDIYA,SHARJAH,ZONE H
AL KHAN,AL KHAN,SHARJAH,ZONE H
AL KHARI,AL KHARI,RAS AL KHAIMAH,ZONE I
AL KHARIR,AL KHARIR,AL AIN,ZONE J
AL KHARRAN,AL KHARRAN,RAS AL KHAIMAH,ZONE I
AL KHAWANEEJ 1,AL KHAWANEEJ 1,DUBAI,ZONE G
AL KHAWANEEJ 2,AL KHAWANEEJ 2,DUBAI,ZONE G
AL KHAZNA,AL KHAZNA,AL AIN,ZONE J
AL KHEERAN,AL KHEERAN,DUBAI,ZONE G
AL KHEERAN 1,AL KHEERAN 1,DUBAI,ZONE G
AL KHEERAN 2,AL KHEERAN 2,DUBAI,ZONE G
AL KHEZAMIA,AL KHEZAMIA,SHARJAH,ZONE H
AL KHOR - UMM AL QUWAIN,AL KHOR - UMM AL QUWAIN,UMM AL QUWAIN,ZONE I
AL KHRAIR,AL KHRAIR,AL AIN,ZONE J
AL KHUBEIRAH,AL KHUBEIRAH,ABU DHABI,ZONE K
AL KIFAF,AL KIFAF,DUBAI,ZONE E
AL LAYYAH,AL LAYYAH,SHARJAH,ZONE H
AL LIMGHADAR,AL LIMGHADAR,UMM AL QUWAIN,ZONE I
AL LISAILI,AL LISAILI,DUBAI,ZONE F
AL LISSAILY,AL LISSAILY,ABU DHABI,ZONE K
AL MADAM AREA SHJ,AL MADAM AREA SHJ,SHARJAH,ZONE H
AL MADINA AL RIYADIYA,AL MADINA AL RIYADIYA,ABU DHABI,ZONE K
AL MAFRAQ,AL MAFRAQ,ABU DHABI,ZONE K
AL MAHATTA,AL MAHATTA,FUJAIRAH,ZONE I
AL MAIDAN,AL MAIDAN,UMM AL QUWAIN,ZONE I
AL MAILAIHA,AL MAILAIHA,SHARJAH,ZONE H
AL MAIRID,AL MAIRID,RAS AL KHAIMAH,ZONE I
AL MAJARRAH,AL MAJARRAH,SHARJAH,ZONE H
AL MAJAZ,AL MAJAZ,SHARJAH,ZONE H
AL MAJAZ 1,AL MAJAZ 1,SHARJAH,ZONE H
"AL MAJAZ 2, BUHAIRA","AL MAJAZ 2, BUHAIRA",SHARJAH,ZONE H
AL MAJAZ 3,AL MAJAZ 3,SHARJAH,ZONE H
AL MAJAZ BANK,AL MAJAZ BANK,SHARJAH,ZONE H
AL MAMZAR,AL MAMZAR,SHARJAH,ZONE H
AL MAMZAR - 1,AL MAMZAR - 1,DUBAI,ZONE G
AL MANAK,AL MANAK,SHARJAH,ZONE H
AL MANAKH,AL MANAKH,SHARJAH,ZONE H
AL MANAMA,AL MANAMA,AJMAN,ZONE I
AL MANARA,AL MANARA,DUBAI,ZONE D
AL MANARA ST,AL MANARA STREET,DUBAI,ZONE D
AL MANASIR,AL MANASIR,ABUDHABI,ZONE K
AL MANAZEL,AL MANAZEL,SHARJAH,ZONE H
AL MANHAL,AL MANHAL,ABU DHABI,ZONE K
AL MANKHOOL,AL MANKHOOL,DUBAI,ZONE E
AL MANMOURAH,AL MANMOURAH,RAS AL KHAIMAH,ZONE I
AL MANSURA,AL MANSURA,SHARJAH,ZONE H
AL MAQAM,AL MAQAM,AL AIN,ZONE J
AL MAQAT HERITAGE MARKET,AL MAQAT HERITAGE MARKET,ABU DHABI,ZONE K
AL MAQTA,AL MAQTA,ABU DHABI,ZONE K
AL MAQTAA AHU,AL MAQTAA AHU,ABUDHABI,ZONE K
AL MAREIJA,AL MAREIJA,SHARJAH,ZONE H
AL MARKHANIYA,AL MARKHANIYA,AL AIN,ZONE J
AL MARYAH ISLAND,AL MARYAH ISLAND,ABU DHABI,ZONE K
AL MASOUDI,AL MASOUDI,AL AIN,ZONE J
AL MATAF,AL MATAF,RAS AL KHAIMAH,ZONE I
AL MATAR-ABUDHABI,AL MATAR-ABUDHABI,ABU DHABI,ZONE K
AL MENA - 2,AL MENA - 2,ABU DHABI,ZONE K
AL ME'RAD,AL ME'RAD,ABU DHABI,ZONE K
AL MERKADH,AL MERKADH,DUBAI,ZONE F
AL MINA,AL MINA,ABU DHABI,ZONE K
AL MINA STREET,AL MINA STREET,DUBAI,ZONE E
AL MIRGAB,AL MIRGAB,SHARJAH,ZONE H
AL MIZHAR 1,AL MIZHAR 1,DUBAI,ZONE G
AL MIZHAR 2,AL MIZHAR 2,DUBAI,ZONE G
AL MIZHER,AL MIZHER,DUBAI,ZONE G
AL MNAIZFAH,AL MNAIZFAH,AL AIN,ZONE J
AL MUDIFI,AL MUDIFI,FUJAIRAH,ZONE I
AL MUNTAZA COMPLEX,AL MUNTAZA COMPLEX,DUBAI,ZONE C
AL MUNTAZAH AHU,AL MUNTAZAH AHU,ABUDHABI,ZONE K
AL MUNTAZI 1,AL MUNTAZI 1,AJMAN,ZONE I
AL MUNTAZI 2,AL MUNTAZI 2,AJMAN,ZONE I
AL MURAR,AL MURAR,DUBAI,ZONE E
AL MUSALLA,AL MUSALLA,SHARJAH,ZONE H
AL MUSALLHA,AL MUSALLHA,SHARJAH,ZONE H
AL MUSHRIF,AL MUSHRIF,ABU DHABI,ZONE K
AL MUSHRIF - 1,AL MUSHRIF - 1,ABU DHABI,ZONE K
AL MUSHRIF MALL,AL MUSHRIF MALL,ABU DHABI,ZONE K
AL MUTAREDH,AL MUTAREDH,AL AIN,ZONE J
AL MUTAREDH OASIS,AL MUTAREDH OASIS,AL AIN,ZONE J
AL MUTAWAA,AL MUTAWAA,AL AIN,ZONE J
AL MUTEENA,AL MUTEENA,DUBAI,ZONE E
AL MUTEENA DEIRA,AL MUTEENA DEIRA,DUBAI,ZONE E
AL MUWAIHAT 1,AL MUWAIHAT 1,AJMAN,ZONE I
AL MUWAIHAT 2,AL MUWAIHAT 2,AJMAN,ZONE I
AL MUWAIHAT 3,AL MUWAIHAT 3,AJMAN,ZONE I
AL MUWAIJI,AL MUWAIJI,AL AIN,ZONE J
AL MUWAIJI - AL RUWAIKAH,AL MUWAIJI - AL RUWAIKAH,AL AIN,ZONE J
AL MUWAIJI - MAJLOOD,AL MUWAIJI - MAJLOOD,AL AIN,ZONE J
AL MUZOON,AL MUZOON,ABU DHABI,ZONE K
AL NABA'A,AL NABA'A,SHARJAH,ZONE H
AL NABBA,AL NABBA,SHARJAH,ZONE H
AL NAHDA,AL NAHDA,DUBAI,ZONE G
"AL NAHDA - SHARJAH, SAHARA CENTRE","AL NAHDA - SHARJAH, SAHARA CENTRE",SHARJAH,ZONE H
AL NAHDA 1 - DUBAI,AL NAHDA 1 - DUBAI,DUBAI,ZONE G
AL NAHDA 2 - DUBAI,AL NAHDA 2 - DUBAI,DUBAI,ZONE G
AL NAHDA EAST,AL NAHDA EAST,ABU DHABI,ZONE K
AL NAHDA SHARJAH,AL NAHDA SHARJAH,SHARJAH,ZONE H
AL NAHDA WEST,AL NAHDA WEST,ABU DHABI,ZONE K
AL NAHIYAN C,AL NAHIYAN CAMP AREA,ABUDHABI,ZONE K
AL NAHYAN,AL NAHYAN,ABU DHABI,ZONE K
AL NAHYAN 2,AL NAHYAN 2,ABU DHABI,ZONE K
AL NAJDA STREET AUH,AL NAJDA STREET AUH,ABUDHABI,ZONE K
AL NAKHEEL - AJMAN,AL NAKHEEL - AJMAN,AJMAN,ZONE I
AL NAKHEEL - RAK,AL NAKHEEL - RAK,RAS AL KHAIMAH,ZONE I
AL NAKHIL 2,AL NAKHIL 2,AJMAN,ZONE I
AL NASSERIYA,AL NASSERIYA,SHARJAH,ZONE H
AL NASSERYA,AL NASSERYA,SHARJAH,ZONE H
AL NAYAN CAMP,AL NAYAN CAMP,ABUDHABI,ZONE K
AL NEKHAILAT,AL NEKHAILAT,SHARJAH,ZONE H
AL NOOF 1,AL NOOF 1,SHARJAH,ZONE H
"AL NOOF 1,2,3,4 SHJ","AL NOOF 1,2,3,4 SHJ",SHARJAH,ZONE H
AL NOOF 2,AL NOOF 2,SHARJAH,ZONE H
AL NOOF 3,AL NOOF 3,SHARJAH,ZONE H
AL NOOF 4,AL NOOF 4,SHARJAH,ZONE H
AL NOUF,AL NOUF,SHARJAH,ZONE H
AL NUAIEMIYA,AL NUAIEMIYA,AJMAN,ZONE I
AL NUAIMIA AJM,AL NUAIMIA AJM,AJMAN,ZONE I
AL NUD,AL NUD,SHARJAH,ZONE H
"AL NUDOOD, WADI AMMAR","AL NUDOOD, WADI AMMAR",RAS AL KHAIMAH,ZONE I
AL NUMAIMIA - 2,AL NUMAIMIA - 2,AJMAN,ZONE I
AL OWAID,AL OWAID,FUJAIRAH,ZONE I
AL QADISIA,AL QADISIA,SHARJAH,ZONE H
AL QADISIYAH,AL QADISIYAH,SHARJAH,ZONE H
AL QADSSIA,AL QADSSIA,FUJAIRAH,ZONE I
AL QALAA,AL QALAA,FUJAIRAH,ZONE I
AL QASBA,AL QASBA,SHARJAH,ZONE H
AL QASBA TOWER,AL QASBA TOWER,SHARJAH,ZONE H
AL QASIMIA,AL QASIMIA,SHARJAH,ZONE H
AL QASIMIYYA,AL QASIMIYYA,SHARJAH,ZONE H
AL QATTARA,AL QATTARA,AL AIN,ZONE J
AL QISAIS,AL QISAIS,AL AIN,ZONE J
AL QISAS,AL QISAS,AL AIN,ZONE J
AL QUA,AL QUA,AL AIN,ZONE J
AL QUASIS 1,AL QUASIS 1,DUBAI,ZONE G
AL QUASIS 2,AL QUASIS 2,DUBAI,ZONE G
AL QUASIS 3,AL QUASIS 3,DUBAI,ZONE G
AL QUASIS IND. 1,AL QUASIS IND. 1,DUBAI,ZONE G
AL QUASIS IND. 2,AL QUASIS IND. 2,DUBAI,ZONE G
AL QUASIS IND. 3,AL QUASIS IND. 3,DUBAI,ZONE G
AL QUASIS IND. 4,AL QUASIS IND. 4,DUBAI,ZONE G
AL QUASIS IND. 5,AL QUASIS IND. 5,DUBAI,ZONE G
AL QUDRA,AL QUDRA ROAD,DUBAI,ZONE A
